clave_municipio,clave_entidad,entidad,municipio,lista_nominal,total_votos,participacion,votos_shh,votos_fcm,votos_mc,votos_otros,pct_shh,pct_fcm,pct_mc,ventaja_shh
20490,20,Oaxaca,Santiago Texcalcingo,1963,665,33.8767,295,307,18,45,44.3609,46.1654,2.7068,-1.8045
20491,20,Oaxaca,Santiago Textitlan,2959,1494,50.49,1225,155,49,65,81.9946,10.3748,3.2798,71.6198
20492,20,Oaxaca,Santiago Tilantongo,2196,1168,53.1876,897,140,68,63,76.7979,11.9863,5.8219,64.8116
20493,20,Oaxaca,Santiago Tillo,423,271,64.0662,213,39,16,3,78.5978,14.3911,5.9041,64.2067
20494,20,Oaxaca,Santiago Tlazoyaltepec,4391,2221,50.5807,1816,235,70,100,81.765,10.5808,3.1517,71.1842
20495,20,Oaxaca,Santiago Xanica,2196,847,38.5701,704,67,15,61,83.1169,7.9103,1.771,75.2066
20496,20,Oaxaca,Santiago Xiacui,1331,775,58.2269,650,61,48,16,83.871,7.871,6.1935,76
20497,20,Oaxaca,Santiago Yaitepec,3027,1342,44.3343,645,599,40,58,48.0626,44.6349,2.9806,3.4277
20498,20,Oaxaca,Santiago Yaveo,5406,2769,51.2209,2367,235,89,78,85.4821,8.4868,3.2142,76.9953
20499,20,Oaxaca,Santiago Yolomecatl,1742,914,52.4684,802,51,48,13,87.7462,5.5799,5.2516,82.1663
20500,20,Oaxaca,Santiago Yosondua,5838,3335,57.1257,2921,235,93,86,87.5862,7.0465,2.7886,80.5397
20501,20,Oaxaca,Santiago Yucuyachi,837,306,36.5591,274,22,6,4,89.5425,7.1895,1.9608,82.353
20502,20,Oaxaca,Santiago Zacatepec,3533,1079,30.5406,676,224,98,81,62.6506,20.76,9.0825,41.8906
20503,20,Oaxaca,Santiago Zoochila,361,211,58.4488,199,6,3,3,94.3128,2.8436,1.4218,91.4692
20504,20,Oaxaca,Nuevo Zoquiapam,1218,453,37.1921,414,24,9,6,91.3907,5.298,1.9868,86.0927
20505,20,Oaxaca,Santo Domingo Ingenio,6868,4878,71.025,4017,258,470,133,82.3493,5.2891,9.6351,72.7142
20506,20,Oaxaca,Santo Domingo Albarradas,628,396,63.0573,385,8,1,2,97.2222,2.0202,0.2525,95.202
20507,20,Oaxaca,Santo Domingo Armenta,2332,476,20.4117,272,178,13,13,57.1429,37.395,2.7311,19.7479
20508,20,Oaxaca,Santo Domingo Chihuitan,1305,883,67.6628,730,105,27,21,82.6727,11.8913,3.0578,70.7814
20509,20,Oaxaca,Santo Domingo de Morelos,8157,3329,40.8116,2840,321,74,94,85.3109,9.6425,2.2229,75.6684
20510,20,Oaxaca,Santo Domingo Ixcatlan,514,300,58.3658,254,27,12,7,84.6667,9,4,75.6667
20511,20,Oaxaca,Santo Domingo Nuxaa,2412,1111,46.0614,791,264,39,17,71.1971,23.7624,3.5104,47.4347
20512,20,Oaxaca,Santo Domingo Ozolotepec,800,326,40.75,274,31,9,12,84.0491,9.5092,2.7607,74.5399
